#routeId	sign	shape	departs	stops
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,05:33:00,5;124,05:33:00,3;124,05:33:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,678,;103518,717,;101756,773,;101757,833,;101759,903,;101761,988,;101763,1068,;101765,1140,;101767,1226,;101769,1380,;101770,1410,;101771,1661,;101772,1740,;101773,1797,;101774,1877,;100014,1980,;104087,2023,;104088,2061,;103450,2114,;803061,2220,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,06:03:00,5;124,19:25:00,5;124,06:03:00,3;124,19:25:00,3;124,06:03:00,1;124,19:25:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,687,;103518,730,;101756,792,;101757,858,;101759,937,;101761,1032,;101763,1120,;101765,1200,;101767,1286,;101769,1440,;101770,1475,;101771,1767,;101772,1860,;101773,1917,;101774,1997,;100014,2100,;104087,2143,;104088,2181,;103450,2234,;803061,2340,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,06:18:00,5;124,06:18:00,3;124,06:18:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,687,;103518,730,;101756,792,;101757,858,;101759,937,;101761,1032,;101763,1120,;101765,1200,;101767,1286,;101769,1440,;101770,1486,;101771,1861,;101772,1980,;101773,2037,;101774,2117,;100014,2220,;104087,2263,;104088,2301,;103450,2354,;803061,2460,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,06:32:00,5;124,06:32:00,3;124,06:32:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,687,;103518,730,;101756,792,;101757,858,;101759,937,;101761,1032,;101763,1120,;101765,1200,;101767,1286,;101769,1440,;101770,1486,;101771,1861,;101772,1980,;101773,2037,;101774,2117,;100014,2220,;104087,2274,;104088,2322,;103450,2388,;803061,2520,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,06:45:00,5;124,06:45:00,3;124,06:45:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,687,;103518,730,;101756,792,;101757,858,;101759,937,;101761,1032,;101763,1120,;101765,1200,;101767,1265,;101769,1380,;101770,1456,;101771,2081,;101772,2280,;101773,2337,;101774,2417,;100014,2520,;104087,2574,;104088,2622,;103450,2688,;803061,2820,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,06:57:00,5;124,06:57:00,3;124,06:57:00,1	101734,0,;101735,49,;104619,88,;101737,141,;101738,167,;103538,293,;103279,324,;101726,355,;104531,394,;101727,428,;101728,480,;103641,600,;101755,713,;103518,769,;101756,850,;101757,936,;101759,1038,;101761,1161,;101763,1276,;101765,1380,;101767,1445,;101769,1560,;101770,1636,;101771,2261,;101772,2460,;101773,2531,;101774,2631,;100014,2760,;104087,2814,;104088,2862,;103450,2928,;803061,3060,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,07:08:00,5;124,07:08:00,3;124,07:08:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,833,;103518,889,;101756,970,;101757,1056,;101759,1158,;101761,1281,;101763,1396,;101765,1500,;101767,1586,;101769,1740,;101770,1826,;101771,2535,;101772,2760,;101773,2831,;101774,2931,;100014,3060,;104087,3114,;104088,3162,;103450,3228,;803061,3360,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,07:24:00,5;124,07:24:00,3;124,07:24:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,825,;103518,876,;101756,951,;101757,1030,;101759,1124,;101761,1238,;101763,1344,;101765,1440,;101767,1526,;101769,1680,;101770,1766,;101771,2475,;101772,2700,;101773,2771,;101774,2871,;100014,3000,;104087,3054,;104088,3102,;103450,3168,;803061,3300,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,07:41:00,5;124,07:41:00,3;124,07:41:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,765,;103518,816,;101756,891,;101757,970,;101759,1064,;101761,1178,;101763,1284,;101765,1380,;101767,1466,;101769,1620,;101770,1706,;101771,2415,;101772,2640,;101773,2711,;101774,2811,;100014,2940,;104087,2994,;104088,3042,;103450,3108,;803061,3240,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,07:57:00,5;124,07:57:00,3;124,07:57:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,765,;103518,816,;101756,891,;101757,970,;101759,1064,;101761,1178,;101763,1284,;101765,1380,;101767,1466,;101769,1620,;101770,1706,;101771,2415,;101772,2640,;101773,2697,;101774,2777,;100014,2880,;104087,2934,;104088,2982,;103450,3048,;803061,3180,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,08:15:00,5;124,08:15:00,3;124,08:15:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,765,;103518,816,;101756,891,;101757,970,;101759,1064,;101761,1178,;101763,1284,;101765,1380,;101767,1466,;101769,1620,;101770,1681,;101771,2181,;101772,2340,;101773,2397,;101774,2477,;100014,2580,;104087,2634,;104088,2682,;103450,2748,;803061,2880,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,08:35:00,5;124,09:00:00,5;124,08:35:00,3;124,09:00:00,3;124,08:35:00,1;124,09:00:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,747,;103518,790,;101756,852,;101757,918,;101759,997,;101761,1092,;101763,1180,;101765,1260,;101767,1346,;101769,1500,;101770,1561,;101771,2061,;101772,2220,;101773,2277,;101774,2357,;100014,2460,;104087,2514,;104088,2562,;103450,2628,;803061,2760,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,09:31:00,5;124,10:01:00,5;124,10:31:00,5;124,09:31:00,3;124,10:01:00,3;124,10:31:00,3;124,09:31:00,1;124,10:01:00,1;124,10:31:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,747,;103518,790,;101756,852,;101757,918,;101759,997,;101761,1092,;101763,1180,;101765,1260,;101767,1325,;101769,1440,;101770,1481,;101771,1814,;101772,1920,;101773,1977,;101774,2057,;100014,2160,;104087,2214,;104088,2262,;103450,2328,;803061,2460,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,11:00:00,5;124,11:30:00,5;124,11:00:00,3;124,11:30:00,3;124,11:00:00,1;124,11:30:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,738,;103518,777,;101756,833,;101757,893,;101759,963,;101761,1048,;101763,1128,;101765,1200,;101767,1286,;101769,1440,;101770,1475,;101771,1767,;101772,1860,;101773,1917,;101774,1997,;100014,2100,;104087,2154,;104088,2202,;103450,2268,;803061,2400,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,11:59:00,5;124,11:59:00,3;124,11:59:00,1	101734,0,;101735,55,;104619,99,;101737,158,;101738,188,;103538,329,;103279,365,;101726,400,;104531,443,;101727,482,;101728,540,;103641,660,;101755,747,;103518,790,;101756,852,;101757,918,;101759,997,;101761,1092,;101763,1180,;101765,1260,;101767,1346,;101769,1500,;101770,1541,;101771,1874,;101772,1980,;101773,2037,;101774,2117,;100014,2220,;104087,2274,;104088,2322,;103450,2388,;803061,2520,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,12:27:00,5;124,12:51:00,5;124,12:27:00,3;124,12:51:00,3;2,10:29:00,;124,12:27:00,1;124,12:51:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,807,;103518,850,;101756,912,;101757,978,;101759,1057,;101761,1152,;101763,1240,;101765,1320,;101767,1406,;101769,1560,;101770,1601,;101771,1934,;101772,2040,;101773,2097,;101774,2177,;100014,2280,;104087,2334,;104088,2382,;103450,2448,;803061,2580,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,13:15:00,5;124,13:15:00,3;124,13:15:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,807,;103518,850,;101756,912,;101757,978,;101759,1057,;101761,1152,;101763,1240,;101765,1320,;101767,1428,;101769,1620,;101770,1666,;101771,2041,;101772,2160,;101773,2231,;101774,2331,;100014,2460,;104087,2514,;104088,2562,;103450,2628,;803061,2760,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,13:39:00,5;124,13:55:00,5;124,14:11:00,5;124,14:27:00,5;124,14:43:00,5;124,15:01:00,5;124,15:21:00,5;124,15:41:00,5;124,13:39:00,3;124,13:55:00,3;124,14:11:00,3;124,14:27:00,3;124,14:43:00,3;124,15:01:00,3;124,15:21:00,3;124,15:41:00,3;124,13:39:00,1;124,13:55:00,1;124,14:11:00,1;124,14:27:00,1;124,14:43:00,1;124,15:01:00,1;124,15:21:00,1;124,15:41:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,825,;103518,876,;101756,951,;101757,1030,;101759,1124,;101761,1238,;101763,1344,;101765,1440,;101767,1548,;101769,1740,;101770,1786,;101771,2161,;101772,2280,;101773,2351,;101774,2451,;100014,2580,;104087,2634,;104088,2682,;103450,2748,;803061,2880,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,16:01:00,5;124,16:01:00,3;124,16:01:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,720,;101755,825,;103518,876,;101756,951,;101757,1030,;101759,1124,;101761,1238,;101763,1344,;101765,1440,;101767,1548,;101769,1740,;101770,1796,;101771,2254,;101772,2400,;101773,2471,;101774,2571,;100014,2700,;104087,2754,;104088,2802,;103450,2868,;803061,3000,
BX26	BEDFORD PK LEHMAN COLL via ALLERTON AV	BX260294	124,16:21:00,5;124,16:21:00,3;124,16:21:00,1	101734,0,;101735,61,;104619,110,;101737,176,;101738,209,;103538,366,;103279,405,;101726,444,;104531,493,;101727,535,;101728,600,;103641,780,;101755,885,;103518,936,;101756,1011,;101757,1090,;101759,1184,;101761,1298,;101763,1404,;101765,1500,;101767,1586,;101769,1740,;101770,1796,;101771,2254,;101772,2400,;101773,2471,;101774,2571,;100014,2700,;104087,2754,;104088,2802,;103450,2868,;803061,3000,
