#routeId	sign	shape	departs	stops
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,06:00:00,3;124,06:20:00,3;124,06:00:00,2;124,06:20:00,2;124,06:00:00,1;124,06:20:00,1	405396,0,;402048,39,;402049,91,;401832,236,;405390,285,;404264,386,;402054,459,;402055,506,;402056,551,;402057,600,;401589,680,;403307,750,;403306,810,;403305,872,;403304,966,;403303,1015,;402067,1103,;401202,1200,;403319,1310,;403318,1374,;401206,1440,;404287,1503,;401208,1536,;401209,1578,;401210,1620,;402870,1656,;903282,1860,;405386,1963,;903298,1997,;403397,2334,;803108,2400,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,06:50:00,3;124,06:30:00,3;124,06:50:00,2;124,06:30:00,2;124,06:50:00,1;124,06:30:00,1	403399,0,;803147,234,;803105,311,;903280,480,;404857,660,;405006,706,;401168,799,;401169,840,;405165,965,;403317,1020,;403732,1120,;402033,1320,;402034,1362,;404100,1432,;402036,1495,;402037,1553,;402038,1615,;402039,1706,;401630,1756,;402041,1800,;402042,1856,;402043,1900,;404099,2062,;405368,2200,;903080,2280,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,07:42:00,3;124,07:22:00,3;124,07:32:00,3;124,07:40:00,2;124,07:24:00,2;124,07:32:00,2;124,07:40:00,1;124,07:24:00,1;124,07:32:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,824,;403307,915,;403306,993,;403305,1073,;403304,1196,;403303,1259,;402067,1374,;401202,1500,;403319,1637,;403318,1718,;401206,1800,;404287,1947,;401208,2024,;401209,2122,;401210,2220,;402870,2265,;903282,2520,;405386,2646,;903298,2687,;403397,3100,;803108,3180,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,08:50:00,3;124,08:45:00,2;124,08:55:00,2;124,08:45:00,1;124,08:55:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,960,;405006,1013,;401168,1122,;401169,1170,;405165,1316,;403317,1380,;403732,1480,;402033,1680,;402034,1732,;404100,1820,;402036,1899,;402037,1971,;402038,2048,;402039,2163,;401630,2225,;402041,2280,;402042,2343,;402043,2392,;404099,2575,;405368,2730,;903080,2820,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,09:52:00,3;124,10:07:00,3;124,10:03:00,2;124,10:15:00,2;124,10:03:00,1;124,10:15:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,832,;403307,930,;403306,1014,;403305,1100,;403304,1232,;403303,1301,;402067,1424,;401202,1560,;403319,1697,;403318,1778,;401206,1860,;404287,2007,;401208,2084,;401209,2182,;401210,2280,;402870,2334,;903282,2640,;405386,2755,;903298,2792,;403397,3167,;803108,3240,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,11:00:00,3;124,10:45:00,3;124,10:30:00,3;124,10:57:00,2;124,10:33:00,2;124,10:45:00,2;124,10:57:00,1;124,10:33:00,1;124,10:45:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,1020,;405006,1081,;401168,1206,;401169,1261,;405165,1426,;403317,1500,;403732,1600,;402033,1800,;402034,1857,;404100,1954,;402036,2041,;402037,2121,;402038,2205,;402039,2331,;401630,2399,;402041,2460,;402042,2523,;402043,2572,;404099,2755,;405368,2910,;903080,3000,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,12:07:00,3;124,12:37:00,3;124,10:37:00,3;124,11:07:00,3;124,11:37:00,3;124,11:52:00,3;124,10:22:00,3;124,12:22:00,3;124,10:52:00,3;124,11:22:00,3;124,10:42:00,2;124,10:27:00,2;124,10:57:00,2;124,11:27:00,2;124,11:12:00,2;124,11:42:00,2;124,11:57:00,2;124,12:42:00,2;124,12:12:00,2;124,12:27:00,2;124,10:42:00,1;124,10:27:00,1;124,10:57:00,1;124,11:27:00,1;124,11:12:00,1;124,11:42:00,1;124,11:57:00,1;124,12:42:00,1;124,12:12:00,1;124,12:27:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,824,;403307,915,;403306,993,;403305,1073,;403304,1196,;403303,1259,;402067,1374,;401202,1500,;403319,1637,;403318,1718,;401206,1800,;404287,1947,;401208,2024,;401209,2122,;401210,2220,;402870,2274,;903282,2580,;405386,2695,;903298,2732,;403397,3107,;803108,3180,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,13:12:00,3;124,13:42:00,3;124,11:42:00,3;124,13:57:00,3;124,12:12:00,3;124,14:27:00,3;124,12:42:00,3;124,12:57:00,3;124,11:27:00,3;124,13:27:00,3;124,11:57:00,3;124,14:12:00,3;124,12:27:00,3;124,14:42:00,3;124,11:21:00,2;124,12:18:00,2;124,12:48:00,2;124,13:03:00,2;124,11:33:00,2;124,13:48:00,2;124,11:48:00,2;124,14:00:00,2;124,13:18:00,2;124,12:03:00,2;124,14:12:00,2;124,13:33:00,2;124,12:33:00,2;124,14:36:00,2;124,14:24:00,2;124,11:21:00,1;124,12:18:00,1;124,12:48:00,1;124,13:03:00,1;124,11:33:00,1;124,13:48:00,1;124,11:48:00,1;124,14:00:00,1;124,13:18:00,1;124,12:03:00,1;124,14:12:00,1;124,13:33:00,1;124,12:33:00,1;124,14:36:00,1;124,14:24:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,1020,;405006,1088,;401168,1229,;401169,1291,;405165,1477,;403317,1560,;403732,1680,;402033,1920,;402034,1977,;404100,2074,;402036,2161,;402037,2241,;402038,2325,;402039,2451,;401630,2519,;402041,2580,;402042,2643,;402043,2692,;404099,2875,;405368,3030,;903080,3120,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,14:37:00,3;124,14:52:00,3;124,15:04:00,3;124,15:28:00,3;124,15:16:00,3;124,15:40:00,3;124,16:07:00,3;124,15:52:00,3;124,14:55:00,2;124,15:07:00,2;124,14:31:00,2;124,15:19:00,2;124,14:43:00,2;124,15:43:00,2;124,16:03:00,2;124,15:31:00,2;124,16:13:00,2;124,15:53:00,2;124,14:55:00,1;124,15:07:00,1;124,14:31:00,1;124,15:19:00,1;124,14:43:00,1;124,15:43:00,1;124,16:03:00,1;124,15:31:00,1;124,16:13:00,1;124,15:53:00,1	405396,0,;402048,54,;402049,127,;401832,330,;405390,399,;404264,541,;402054,643,;402055,709,;402056,771,;402057,840,;401589,936,;403307,1020,;403306,1092,;403305,1166,;403304,1279,;403303,1338,;402067,1443,;401202,1560,;403319,1697,;403318,1778,;401206,1860,;404287,2007,;401208,2084,;401209,2182,;401210,2280,;402870,2325,;903282,2580,;405386,2695,;903298,2732,;403397,3107,;803108,3180,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,15:42:00,3;124,15:57:00,3;124,15:48:00,2;124,15:48:00,1	403399,0,;803147,350,;803105,467,;903280,720,;404857,1080,;405006,1148,;401168,1289,;401169,1351,;405165,1537,;403317,1620,;403732,1740,;402033,1980,;402034,2037,;404100,2134,;402036,2221,;402037,2301,;402038,2385,;402039,2511,;401630,2579,;402041,2640,;402042,2703,;402043,2752,;404099,2935,;405368,3090,;903080,3180,
