#routeId	sign	shape	departs	stops
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,01:00:00,;124,02:00:00,;124,03:00:00,;124,04:00:00,;124,24:00:00,;124,24:30:00,;124,03:30:00,;124,01:30:00,;124,02:30:00,;124,01:00:00,2;124,02:00:00,2;124,03:00:00,2;124,04:00:00,2;124,24:00:00,2;124,24:30:00,2;124,03:30:00,2;124,01:30:00,2;124,02:30:00,2;124,01:00:00,1;124,02:00:00,1;124,03:00:00,1;124,04:00:00,1;124,24:00:00,1;124,24:30:00,1;124,03:30:00,1;124,01:30:00,1;124,02:30:00,1	202577,0,;201256,39,;200050,75,;200051,114,;204064,155,;200053,218,;200054,274,;200055,301,;200056,360,;200057,420,;203469,485,;203222,517,;203481,552,;200014,589,;204074,638,;200063,674,;200064,697,;200065,732,;200066,772,;203102,791,;200069,825,;200070,863,;200072,900,;200073,939,;200074,955,;200075,986,;200076,1016,;203938,1044,;200078,1062,;200079,1077,;200080,1103,;204018,1120,;200082,1137,;200083,1166,;200084,1189,;200085,1217,;203846,1249,;202823,1261,;202824,1320,;203087,1367,;202830,1395,;203762,1440,;203763,1482,;203407,1510,;203061,1570,;200001,1597,;204060,1982,;805202,2040,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,05:00:00,;124,05:30:00,;124,06:00:00,;124,06:30:00,;124,06:45:00,;124,07:00:00,;124,07:15:00,;124,08:00:00,;124,08:20:00,;124,09:00:00,;124,09:20:00,;124,09:40:00,;124,10:00:00,;124,10:20:00,;124,07:45:00,;124,07:30:00,;124,08:40:00,;124,04:30:00,;124,06:15:00,;124,05:45:00,;124,05:00:00,2;124,05:30:00,2;124,06:00:00,2;124,06:30:00,2;124,06:45:00,2;124,07:00:00,2;124,07:15:00,2;124,08:00:00,2;124,08:20:00,2;124,09:00:00,2;124,09:15:00,2;124,09:30:00,2;124,10:00:00,2;124,10:20:00,2;124,07:45:00,2;124,07:30:00,2;124,08:40:00,2;124,04:30:00,2;124,06:15:00,2;124,05:45:00,2;124,05:31:00,2;124,09:45:00,2;124,05:00:00,1;124,05:30:00,1;124,06:00:00,1;124,06:30:00,1;124,06:45:00,1;124,07:00:00,1;124,07:15:00,1;124,08:00:00,1;124,08:20:00,1;124,09:00:00,1;124,09:15:00,1;124,09:30:00,1;124,10:00:00,1;124,10:20:00,1;124,07:45:00,1;124,07:30:00,1;124,08:40:00,1;124,04:30:00,1;124,06:15:00,1;124,05:45:00,1;124,05:31:00,1;124,09:45:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,553,;203222,589,;203481,628,;200014,670,;204074,726,;200063,766,;200064,792,;200065,831,;200066,876,;203102,897,;200069,935,;200070,978,;200072,1020,;200073,1071,;200074,1091,;200075,1130,;200076,1169,;203938,1205,;200078,1229,;200079,1248,;200080,1281,;204018,1303,;200082,1325,;200083,1362,;200084,1392,;200085,1428,;203846,1469,;202823,1484,;202824,1560,;203087,1607,;202830,1635,;203762,1680,;203763,1726,;203407,1757,;203061,1823,;200001,1852,;204060,2276,;805202,2340,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,10:40:00,;124,10:40:00,2;124,10:40:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,553,;203222,589,;203481,628,;200014,670,;204074,726,;200063,766,;200064,792,;200065,831,;200066,876,;203102,897,;200069,935,;200070,978,;200072,1020,;200073,1071,;200074,1091,;200075,1130,;200076,1169,;203938,1205,;200078,1229,;200079,1248,;200080,1281,;204018,1303,;200082,1325,;200083,1362,;200084,1392,;200085,1428,;203846,1469,;202823,1484,;202824,1560,;203087,1607,;202830,1635,;203762,1680,;203763,1722,;203407,1750,;203061,1810,;200001,1837,;204060,2222,;805202,2280,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,11:00:00,;124,11:20:00,;124,11:40:00,;124,12:00:00,;124,12:20:00,;124,11:00:00,2;124,11:20:00,2;124,11:40:00,2;124,12:00:00,2;124,12:20:00,2;124,11:00:00,1;124,11:20:00,1;124,11:40:00,1;124,12:00:00,1;124,12:20:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,545,;203222,577,;203481,612,;200014,649,;204074,698,;200063,734,;200064,757,;200065,792,;200066,832,;203102,851,;200069,885,;200070,923,;200072,960,;200073,1005,;200074,1023,;200075,1058,;200076,1093,;203938,1125,;200078,1146,;200079,1162,;200080,1192,;204018,1211,;200082,1231,;200083,1264,;200084,1291,;200085,1322,;203846,1359,;202823,1373,;202824,1440,;203087,1487,;202830,1515,;203762,1560,;203763,1602,;203407,1630,;203061,1690,;200001,1717,;204060,2102,;805202,2160,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,12:40:00,;124,12:40:00,2;124,12:40:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,545,;203222,577,;203481,612,;200014,649,;204074,698,;200063,734,;200064,757,;200065,792,;200066,832,;203102,851,;200069,885,;200070,923,;200072,960,;200073,1005,;200074,1023,;200075,1058,;200076,1093,;203938,1125,;200078,1146,;200079,1162,;200080,1192,;204018,1211,;200082,1231,;200083,1264,;200084,1291,;200085,1322,;203846,1359,;202823,1373,;202824,1440,;203087,1510,;202830,1553,;203762,1620,;203763,1666,;203407,1697,;203061,1763,;200001,1792,;204060,2216,;805202,2280,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,13:00:00,;124,13:20:00,;124,13:40:00,;124,14:00:00,;124,14:30:00,;124,14:45:00,;124,15:00:00,;124,16:33:00,;124,15:33:00,;124,15:45:00,;124,16:03:00,;124,16:18:00,;124,14:15:00,;124,15:15:00,;124,13:00:00,2;124,13:20:00,2;124,13:40:00,2;124,14:00:00,2;124,14:30:00,2;124,14:45:00,2;124,15:00:00,2;124,16:33:00,2;124,15:33:00,2;124,15:45:00,2;124,16:04:00,2;124,16:18:00,2;124,14:15:00,2;124,15:15:00,2;124,13:00:00,1;124,13:20:00,1;124,13:40:00,1;124,14:00:00,1;124,14:30:00,1;124,14:45:00,1;124,15:00:00,1;124,16:33:00,1;124,15:33:00,1;124,15:45:00,1;124,16:04:00,1;124,16:18:00,1;124,14:15:00,1;124,15:15:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,553,;203222,589,;203481,628,;200014,670,;204074,726,;200063,766,;200064,792,;200065,831,;200066,876,;203102,897,;200069,935,;200070,978,;200072,1020,;200073,1071,;200074,1091,;200075,1130,;200076,1169,;203938,1205,;200078,1229,;200079,1248,;200080,1281,;204018,1303,;200082,1325,;200083,1362,;200084,1392,;200085,1428,;203846,1469,;202823,1484,;202824,1560,;203087,1630,;202830,1673,;203762,1740,;203763,1786,;203407,1817,;203061,1883,;200001,1912,;204060,2336,;805202,2400,
S40	ARLINGTON SOUTH AV ARLINGTON PL	S400032	124,16:53:00,;124,17:33:00,;124,17:15:00,;124,17:14:00,;124,16:53:00,2;124,17:33:00,2;124,17:13:00,2;124,16:53:00,1;124,17:33:00,1;124,17:13:00,1	202577,0,;201256,44,;200050,85,;200051,130,;204064,177,;200053,249,;200054,313,;200055,344,;200056,412,;200057,480,;203469,553,;203222,589,;203481,628,;200014,670,;204074,726,;200063,766,;200064,792,;200065,831,;200066,876,;203102,897,;200069,935,;200070,978,;200072,1020,;200073,1071,;200074,1091,;200075,1130,;200076,1169,;203938,1205,;200078,1229,;200079,1248,;200080,1281,;204018,1303,;200082,1325,;200083,1362,;200084,1392,;200085,1428,;203846,1469,;202823,1484,;202824,1560,
S40	ARLINGTON SOUTH AV ARLINGTON PL	S400032	124,18:03:00,;124,18:18:00,;124,18:48:00,;124,18:02:00,;124,18:18:00,2;124,18:48:00,2;124,18:02:00,2;124,18:18:00,1;124,18:48:00,1;124,18:02:00,1	202577,0,;201256,39,;200050,75,;200051,114,;204064,155,;200053,218,;200054,274,;200055,301,;200056,360,;200057,420,;203469,493,;203222,529,;203481,568,;200014,610,;204074,666,;200063,706,;200064,732,;200065,771,;200066,816,;203102,837,;200069,875,;200070,918,;200072,960,;200073,1005,;200074,1023,;200075,1058,;200076,1093,;203938,1125,;200078,1146,;200079,1162,;200080,1192,;204018,1211,;200082,1231,;200083,1264,;200084,1291,;200085,1322,;203846,1359,;202823,1373,;202824,1440,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,18:30:00,;124,19:18:00,;124,19:30:00,;124,19:00:00,;124,18:30:00,2;124,19:18:00,2;124,19:30:00,2;124,19:03:00,2;124,18:30:00,1;124,19:18:00,1;124,19:30:00,1;124,19:03:00,1	202577,0,;201256,39,;200050,75,;200051,114,;204064,155,;200053,218,;200054,274,;200055,301,;200056,360,;200057,420,;203469,493,;203222,529,;203481,568,;200014,610,;204074,666,;200063,706,;200064,732,;200065,771,;200066,816,;203102,837,;200069,875,;200070,918,;200072,960,;200073,1005,;200074,1023,;200075,1058,;200076,1093,;203938,1125,;200078,1146,;200079,1162,;200080,1192,;204018,1211,;200082,1231,;200083,1264,;200084,1291,;200085,1322,;203846,1359,;202823,1373,;202824,1440,;203087,1487,;202830,1515,;203762,1560,;203763,1606,;203407,1637,;203061,1703,;200001,1732,;204060,2156,;805202,2220,
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,19:50:00,;124,19:50:00,2;124,19:50:00,1	202577,0,;201256,39,;200050,75,;200051,114,;204064,155,;200053,218,;200054,274,;200055,301,;200056,360,;200057,420,;203469,493,;203222,529,;203481,568,;200014,610,;204074,666,;200063,706,;200064,732,;200065,771,;200066,816,;203102,837,;200069,875,;200070,918,;200072,960,;200073,1005,;200074,1023,;200075,1058,;200076,1093,;203938,1125,;200078,1146,;200079,1162,;200080,1192,;204018,1211,;200082,1231,;200083,1264,;200084,1291,;200085,1322,;203846,1359,;202823,1373,;202824,1440,;203087,1487,;202830,1515,;203762,1560,;203763,1602,;203407,1630,;203061,1690,;200001,1717,;204060,2102,;805202,2160,
